artist_name,channel_id,video_id,title,published_at,views,likes,comments,timestamp
Bad Bunny,UCmBA_wu8xGg1OfOkfW13Q0Q,KU5V5WZVcVE,BAD BUNNY - NUEVAYoL (Video Oficial) | DeBÍ TiRAR MáS FOToS,2025-07-04T16:00:02Z,25569371,502649,21323,2025-08-11 03:41:28+00:00
Bad Bunny,UCmBA_wu8xGg1OfOkfW13Q0Q,aoXDGMZhdJk,BAD BUNNY - KETU TeCRÉ (Video Oficial) | DeBÍ TiRAR MáS FOToS,2025-05-16T18:00:02Z,23358715,328737,11909,2025-08-11 03:41:28+00:00
Bad Bunny,UCmBA_wu8xGg1OfOkfW13Q0Q,N4H0ZqV76B0,polfín  depuertoricopalmundo.com,2025-05-05T19:22:23Z,282251,24103,774,2025-08-11 03:41:28+00:00
Bad Bunny,UCmBA_wu8xGg1OfOkfW13Q0Q,O-WsQlXaa0E,BAD BUNNY - BOKeTE (Video Oficial) | DeBÍ TiRAR MáS FOToS,2025-04-25T17:00:02Z,18777702,333371,11355,2025-08-11 03:41:28+00:00
Bad Bunny,UCmBA_wu8xGg1OfOkfW13Q0Q,qYAONSDnMrc,BAD BUNNY - LA MuDANZA (Video Oficial) | DeBÍ TiRAR MáS FOToS,2025-03-10T21:40:25Z,16637568,225530,9308,2025-08-11 03:41:28+00:00
Kendrick Lamar,UCoYfzC2zMlc9M-Odgaf6OSg,sNY_2TEmzho,Kendrick Lamar & SZA - luther,2025-04-11T16:01:32Z,37874789,1199400,57660,2025-08-11 03:41:28+00:00
Kendrick Lamar,UCoYfzC2zMlc9M-Odgaf6OSg,H58vbez_m4E,Kendrick Lamar - Not Like Us,2024-07-04T23:00:09Z,382765933,7025954,366698,2025-08-11 03:41:28+00:00
Kendrick Lamar,UCoYfzC2zMlc9M-Odgaf6OSg,SZcupt0Yqaw,Kendrick Lamar - Rich Spirit + N95 (Live From Saturday Night Live),2022-10-02T07:20:53Z,5993553,213590,7078,2025-08-11 03:41:28+00:00
Kendrick Lamar,UCoYfzC2zMlc9M-Odgaf6OSg,_IuAIp46xC4,Kendrick Lamar - Father Time ft. Sampha (Live on SNL),2022-10-02T07:14:47Z,2381127,94963,2581,2025-08-11 03:41:28+00:00
Kendrick Lamar,UCoYfzC2zMlc9M-Odgaf6OSg,zI383uEwA6Q,Kendrick Lamar - N95,2022-05-14T19:00:16Z,100871700,1785252,59119,2025-08-11 03:41:28+00:00
Foo Fighters,UCi2KNss4Yx73NG0JARSFe0A,7rINKCWyZIk,"'Today’s Song', Foo Fighters 2025 #FF30",2025-07-02T18:00:51Z,20140,1084,42,2025-08-11 03:41:28+00:00
Foo Fighters,UCi2KNss4Yx73NG0JARSFe0A,1NEi8lQZyfw,Foo Fighters - Today's Song (Audio),2025-07-02T17:01:24Z,84207,4470,254,2025-08-11 03:41:28+00:00
Foo Fighters,UCi2KNss4Yx73NG0JARSFe0A,FHEk_D9zOos,Foo Fighters 2025 by Dave Grohl,2025-07-02T14:00:53Z,195425,9334,683,2025-08-11 03:41:28+00:00
